
======================================================================
  CELL: arm=off  corpus=openr1-mix-ext  seed=0  steps=20000
  [off] step  11700  loss 4.3008  lr 1.30e-04
  [off] step  11800  loss 3.9587  lr 1.28e-04
  [off] step  11900  loss 3.7188  lr 1.26e-04
  [off] step  12000  loss 3.7166  lr 1.24e-04
  [off] step  12100  loss 3.6207  lr 1.22e-04
  [off] step  12200  loss 3.7467  lr 1.20e-04
  [off] step  12300  loss 3.9728  lr 1.18e-04
  [off] step  12400  loss 3.8891  lr 1.16e-04
  [off] step  12500  loss 4.0081  lr 1.14e-04
  [off] step  12600  loss 3.4593  lr 1.12e-04
  [off] step  12700  loss 3.9253  lr 1.10e-04
  [off] step  12800  loss 3.9441  lr 1.08e-04
  [off] step  12900  loss 3.9566  lr 1.06e-04
  [off] step  13000  loss 3.4999  lr 1.04e-04
  [off] step  13100  loss 3.4072  lr 1.02e-04
  [off] step  13200  loss 4.0652  lr 1.01e-04
  [off] step  13300  loss 3.8167  lr 9.87e-05
  [off] step  13400  loss 3.9151  lr 9.69e-05
  [off] step  13500  loss 3.6932  lr 9.51e-05
  [off] step  13600  loss 3.8887  lr 9.32e-05
  [off] step  13700  loss 3.5446  lr 9.14e-05
  [off] step  13800  loss 3.8599  lr 8.97e-05
  [off] step  13900  loss 3.9462  lr 8.79e-05
  [off] step  14000  loss 3.8385  lr 8.62e-05
  [off] step  14100  loss 3.6096  lr 8.44e-05
  [off] step  14200  loss 3.9793  lr 8.27e-05
  [off] step  14300  loss 3.8944  lr 8.11e-05
  [off] step  14400  loss 4.2981  lr 7.94e-05
  [off] step  14500  loss 3.9093  lr 7.78e-05
  [off] step  14600  loss 3.9216  lr 7.62e-05
  [off] step  14700  loss 3.7348  lr 7.46e-05
  [off] step  14800  loss 4.0109  lr 7.30e-05
  [off] step  14900  loss 3.6794  lr 7.14e-05
  [off] step  15000  loss 3.9068  lr 6.99e-05
  [off] step  15100  loss 3.4675  lr 6.84e-05
  [off] step  15200  loss 3.7481  lr 6.69e-05
  [off] step  15300  loss 3.9659  lr 6.55e-05
  [off] step  15400  loss 4.0164  lr 6.41e-05
  [off] step  15500  loss 4.0224  lr 6.27e-05
  [off] step  15600  loss 4.1779  lr 6.13e-05
  [off] step  15700  loss 3.8653  lr 5.99e-05
  [off] step  15800  loss 3.7950  lr 5.86e-05
  [off] step  15900  loss 3.6147  lr 5.73e-05
  [off] step  16000  loss 4.0328  lr 5.60e-05
  [off] step  16100  loss 3.9162  lr 5.48e-05
  [off] step  16200  loss 3.5174  lr 5.36e-05
  [off] step  16300  loss 3.3735  lr 5.24e-05
  [off] step  16400  loss 4.2546  lr 5.12e-05
  [off] step  16500  loss 3.9067  lr 5.01e-05
  [off] step  16600  loss 4.1418  lr 4.90e-05
  [off] step  16700  loss 4.1830  lr 4.79e-05
  [off] step  16800  loss 3.8386  lr 4.69e-05
  [off] step  16900  loss 3.6033  lr 4.58e-05
  [off] step  17000  loss 3.9544  lr 4.49e-05
  [off] step  17100  loss 3.7716  lr 4.39e-05
  [off] step  17200  loss 4.0343  lr 4.30e-05
  [off] step  17300  loss 3.8683  lr 4.21e-05
  [off] step  17400  loss 3.8514  lr 4.12e-05
  [off] step  17500  loss 3.7826  lr 4.04e-05
  [off] step  17600  loss 3.8248  lr 3.96e-05
  [off] step  17700  loss 3.9879  lr 3.88e-05
  [off] step  17800  loss 3.5866  lr 3.81e-05
  [off] step  17900  loss 3.8409  lr 3.74e-05
  [off] step  18000  loss 4.0580  lr 3.67e-05
  [off] step  18100  loss 3.9002  lr 3.60e-05
  [off] step  18200  loss 3.5651  lr 3.54e-05
  [off] step  18300  loss 4.0569  lr 3.48e-05
  [off] step  18400  loss 3.8047  lr 3.43e-05
  [off] step  18500  loss 3.9960  lr 3.38e-05
  [off] step  18600  loss 3.9586  lr 3.33e-05
  [off] step  18700  loss 3.7531  lr 3.28e-05
  [off] step  18800  loss 3.7532  lr 3.24e-05
  [off] step  18900  loss 4.1343  lr 3.20e-05
