unix_time,step,interval_s_per_step,flag
1783574113,400,,
1783574233,900,0.2400,
1783574353,1400,0.2400,
1783574473,1900,0.2400,
1783574593,2400,0.2400,
1783574713,2900,0.2400,
1783574833,3400,0.2400,
1783574953,3900,0.2400,
1783575073,4400,0.2400,
1783575193,4900,0.2400,
1783575313,5400,0.2400,
1783575433,5900,0.2400,
1783575553,6400,0.2400,
1783575673,7000,0.2000,
1783575793,7400,0.3000,
1783575913,8000,0.2000,
1783576033,8400,0.3000,
1783576153,9000,0.2000,
1783576273,9500,0.2400,
1783576393,10000,0.2400,
1783576513,10500,0.2400,
1783576633,11000,0.2400,
1783576753,11500,0.2400,
1783576873,12000,0.2400,
1783576993,12500,0.2400,
1783577113,13000,0.2400,
1783577233,13500,0.2400,
1783577353,14000,0.2400,
1783577473,14500,0.2400,
1783577593,15000,0.2400,
1783577713,15500,0.2400,
1783577833,16000,0.2400,
1783577953,16500,0.2400,
1783578073,17000,0.2400,
1783578193,17500,0.2400,
1783578313,18000,0.2400,
1783578433,18500,0.2400,
1783578553,19000,0.2400,
1783578673,19500,0.2400,
1783578793,20000,0.2400,
1783578913,20500,0.2400,
1783579033,21000,0.2400,
1783579153,21500,0.2400,
1783579273,22000,0.2400,
1783579393,22500,0.2400,
1783579513,23000,0.2400,
1783579633,23500,0.2400,
1783579753,24000,0.2400,
1783579873,24500,0.2400,
1783579993,25000,0.2400,
1783580113,25500,0.2400,
1783580233,26000,0.2400,
1783580353,26500,0.2400,
1783580473,27000,0.2400,
1783580593,27500,0.2400,
1783580713,28000,0.2400,
1783580833,28500,0.2400,
1783580953,29000,0.2400,
1783581073,29500,0.2400,
1783581193,30000,0.2400,
1783581313,30500,0.2400,
1783581433,31000,0.2400,
1783581553,31500,0.2400,
1783581673,32000,0.2400,
1783581793,32500,0.2400,
1783581913,33000,0.2400,
1783582033,33500,0.2400,
1783582153,34000,0.2400,
1783582273,34500,0.2400,
1783582393,35000,0.2400,
1783582513,35500,0.2400,
1783582633,36000,0.2400,
1783582753,36500,0.2400,
1783582873,37000,0.2400,
1783582993,37500,0.2400,
1783583113,38000,0.2400,
1783583233,38500,0.2400,
1783583353,39000,0.2400,
1783583473,39500,0.2400,
1783583593,40000,0.2400,
1783583713,40500,0.2400,
1783583833,41000,0.2400,
1783583953,41500,0.2400,
1783584073,42000,0.2400,
1783584193,42500,0.2400,
1783584313,43000,0.2400,
1783584433,43500,0.2400,
1783584553,44000,0.2400,
1783584673,44500,0.2400,
1783584793,45000,0.2400,
1783584913,45500,0.2400,
1783585033,46000,0.2400,
1783585153,46500,0.2400,
1783585273,47000,0.2400,
1783585393,47500,0.2400,
1783585513,48000,0.2400,
1783585633,48500,0.2400,
1783585753,49000,0.2400,
1783585873,49500,0.2400,
1783585993,50000,0.2400,
1783586113,50500,0.2400,
1783586233,51000,0.2400,
1783586353,51600,0.2000,
1783586473,52000,0.3000,
1783586593,52600,0.2001,
1783586713,53100,0.2400,
1783586833,53600,0.2400,
1783586953,54100,0.2400,
1783587073,54600,0.2400,
1783587193,55100,0.2400,
1783587313,55600,0.2400,
1783587433,56100,0.2400,
1783587553,56600,0.2400,
1783587673,57100,0.2400,
1783587793,57600,0.2400,
1783587913,58100,0.2400,
1783588033,58600,0.2400,
1783588153,59100,0.2400,
1783588273,59600,0.2400,
1783588393,60100,0.2400,
1783588513,60600,0.2400,
1783588633,61100,0.2400,
1783588753,61600,0.2400,
1783588873,62100,0.2400,
1783588993,62600,0.2400,
1783589113,63100,0.2400,
1783589233,63600,0.2400,
1783589353,64100,0.2400,
1783589473,64600,0.2400,
1783589593,65100,0.2400,
1783589713,65600,0.2400,
1783589833,66100,0.2400,
1783589953,66600,0.2400,
1783590073,67100,0.2400,
