unix_time,step,interval_s_per_step,flag
1783574081,400,,
1783574201,900,0.2400,
1783574321,1400,0.2400,
1783574441,1900,0.2400,
1783574561,2400,0.2400,
1783574681,2900,0.2400,
1783574801,3400,0.2400,
1783574921,3900,0.2400,
1783575041,4400,0.2400,
1783575161,4900,0.2400,
1783575281,5400,0.2400,
1783575401,5900,0.2400,
1783575521,6400,0.2400,
1783575641,6900,0.2400,
1783575761,7400,0.2400,
1783575881,8000,0.2000,
1783576001,8400,0.3000,
1783576121,9000,0.2000,
1783576241,9500,0.2400,
1783576361,10000,0.2400,
1783576481,10500,0.2400,
1783576601,11000,0.2400,
1783576721,11500,0.2400,
1783576841,12000,0.2400,
1783576961,12500,0.2400,
1783577081,13000,0.2400,
1783577201,13500,0.2400,
1783577321,14000,0.2400,
1783577441,14500,0.2400,
1783577561,15000,0.2400,
1783577681,15500,0.2400,
1783577801,16000,0.2400,
1783577921,16500,0.2400,
1783578041,17000,0.2400,
1783578161,17500,0.2400,
1783578281,18000,0.2400,
1783578401,18500,0.2400,
1783578521,19000,0.2400,
1783578641,19500,0.2400,
1783578761,20000,0.2400,
1783578881,20500,0.2400,
1783579001,21000,0.2400,
1783579121,21500,0.2400,
1783579241,22000,0.2400,
1783579361,22500,0.2400,
1783579481,23000,0.2400,
1783579601,23500,0.2400,
1783579721,24000,0.2400,
1783579841,24500,0.2400,
1783579961,25000,0.2400,
1783580081,25500,0.2400,
1783580201,26000,0.2400,
1783580321,26500,0.2400,
1783580441,27000,0.2400,
1783580561,27500,0.2400,
1783580681,28000,0.2400,
1783580801,28500,0.2400,
1783580921,29000,0.2400,
1783581041,29500,0.2400,
1783581161,30000,0.2400,
1783581281,30500,0.2400,
1783581401,31000,0.2400,
1783581521,31500,0.2400,
1783581641,32000,0.2400,
1783581761,32500,0.2400,
1783581881,33000,0.2400,
1783582001,33600,0.2000,
1783582121,34000,0.3000,
1783582241,34600,0.2000,
1783582361,35100,0.2400,
1783582481,35600,0.2400,
1783582601,36100,0.2400,
1783582721,36600,0.2400,
1783582841,37100,0.2400,
1783582961,37600,0.2400,
1783583081,38100,0.2400,
1783583201,38600,0.2400,
1783583321,39100,0.2400,
1783583441,39600,0.2400,
1783583561,40100,0.2400,
1783583681,40600,0.2400,
1783583801,41100,0.2400,
1783583921,41600,0.2400,
1783584041,42100,0.2400,
1783584161,42600,0.2400,
1783584281,43100,0.2400,
1783584401,43600,0.2400,
1783584521,44100,0.2400,
1783584641,44600,0.2400,
1783584761,45100,0.2400,
1783584881,45600,0.2400,
1783585001,46100,0.2400,
1783585121,46600,0.2400,
1783585241,47100,0.2400,
1783585361,47600,0.2400,
1783585481,48100,0.2400,
1783585601,48600,0.2400,
1783585721,49100,0.2400,
1783585841,49600,0.2400,
1783585961,50100,0.2400,
1783586081,50600,0.2400,
1783586201,51100,0.2400,
1783586321,51600,0.2400,
1783586441,52100,0.2400,
1783586561,52600,0.2400,
1783586681,53100,0.2400,
1783586801,53600,0.2400,
1783586921,54100,0.2400,
1783587041,54600,0.2400,
1783587161,55100,0.2400,
1783587281,55600,0.2400,
1783587401,56100,0.2400,
1783587521,56600,0.2400,
1783587641,57100,0.2400,
1783587761,57600,0.2400,
1783587881,58100,0.2400,
1783588001,58600,0.2400,
1783588121,59100,0.2400,
1783588241,59600,0.2400,
1783588361,60100,0.2400,
1783588481,60600,0.2400,
1783588601,61100,0.2400,
1783588721,61600,0.2400,
1783588841,62100,0.2400,
1783588961,62600,0.2400,
1783589081,63100,0.2400,
1783589201,63600,0.2400,
1783589321,64100,0.2400,
1783589441,64600,0.2400,
1783589561,65100,0.2400,
1783589681,65600,0.2400,
1783589801,66100,0.2400,
1783589921,66600,0.2400,
1783590041,67100,0.2400,
