[calibration-only] launching 5 calibration cells (steps=per-group STEP_BUDGET pins, device=cuda, results_dir=/home/nvidia/chapter2/capability_separation/results)
  [S5__unconstrained__seed0] step 1000/8000  loss=0.2784
  [S5__unconstrained__seed0] step 1500/8000  loss=0.2699
  [S5__unconstrained__seed0] step 2000/8000  loss=0.2328
  [S5__unconstrained__seed0] step 2500/8000  loss=0.3170
  [S5__unconstrained__seed0] step 3000/8000  loss=0.2163
  [S5__unconstrained__seed0] step 3500/8000  loss=0.1396
  [S5__unconstrained__seed0] step 4000/8000  loss=0.2983
  [S5__unconstrained__seed0] step 4500/8000  loss=0.2500
  [S5__unconstrained__seed0] step 5000/8000  loss=0.0884
  [S5__unconstrained__seed0] step 5500/8000  loss=0.0153
  [S5__unconstrained__seed0] step 6000/8000  loss=0.1989
  [S5__unconstrained__seed0] step 6500/8000  loss=0.0927
  [S5__unconstrained__seed0] step 7000/8000  loss=0.0184
  [S5__unconstrained__seed0] step 7500/8000  loss=0.0080
  [S5__unconstrained__seed0] step 8000/8000  loss=0.0076
  [A6__unconstrained__seed0] step 1/40000  loss=1.1055
  [A6__unconstrained__seed0] step 500/40000  loss=0.4715
  [A6__unconstrained__seed0] step 1000/40000  loss=0.3265
  [A6__unconstrained__seed0] step 1500/40000  loss=0.3700
  [A6__unconstrained__seed0] step 2000/40000  loss=0.3575
  [A6__unconstrained__seed0] step 2500/40000  loss=0.3488
  [A6__unconstrained__seed0] step 3000/40000  loss=0.3387
  [A6__unconstrained__seed0] step 3500/40000  loss=0.2676
  [A6__unconstrained__seed0] step 4000/40000  loss=0.3584
  [A6__unconstrained__seed0] step 4500/40000  loss=0.2311
  [A6__unconstrained__seed0] step 5000/40000  loss=0.2207
  [A6__unconstrained__seed0] step 5500/40000  loss=0.1310
  [A6__unconstrained__seed0] step 6000/40000  loss=0.2315
  [A6__unconstrained__seed0] step 6500/40000  loss=0.1948
  [A6__unconstrained__seed0] step 7000/40000  loss=0.1433
  [A6__unconstrained__seed0] step 7500/40000  loss=0.1780
  [A6__unconstrained__seed0] step 8000/40000  loss=0.2199
  [A6__unconstrained__seed0] step 8500/40000  loss=0.2196
  [A6__unconstrained__seed0] step 9000/40000  loss=0.3292
  [A6__unconstrained__seed0] step 9500/40000  loss=0.2890
  [A6__unconstrained__seed0] step 10000/40000  loss=0.2769
  [A6__unconstrained__seed0] step 10500/40000  loss=0.2050
  [A6__unconstrained__seed0] step 11000/40000  loss=0.2696
  [A6__unconstrained__seed0] step 11500/40000  loss=0.2653
  [A6__unconstrained__seed0] step 12000/40000  loss=0.2199
  [A6__unconstrained__seed0] step 12500/40000  loss=0.0187
  [A6__unconstrained__seed0] step 13000/40000  loss=0.0129
  [A6__unconstrained__seed0] step 13500/40000  loss=0.2849
  [A6__unconstrained__seed0] step 14000/40000  loss=0.2008
  [A6__unconstrained__seed0] step 14500/40000  loss=0.0134
  [A6__unconstrained__seed0] step 15000/40000  loss=0.2794
  [A6__unconstrained__seed0] step 15500/40000  loss=0.1206
  [A6__unconstrained__seed0] step 16000/40000  loss=0.2395
  [A6__unconstrained__seed0] step 16500/40000  loss=0.1165
  [A6__unconstrained__seed0] step 17000/40000  loss=0.1602
  [A6__unconstrained__seed0] step 17500/40000  loss=0.2787
  [A6__unconstrained__seed0] step 18000/40000  loss=0.2552
  [A6__unconstrained__seed0] step 18500/40000  loss=0.1599
  [A6__unconstrained__seed0] step 19000/40000  loss=0.0088
  [A6__unconstrained__seed0] step 19500/40000  loss=0.0043
  [A6__unconstrained__seed0] step 20000/40000  loss=0.0088
  [A6__unconstrained__seed0] step 20500/40000  loss=0.0896
  [A6__unconstrained__seed0] step 21000/40000  loss=0.1978
  [A6__unconstrained__seed0] step 21500/40000  loss=0.0052
  [A6__unconstrained__seed0] step 22000/40000  loss=0.0051
  [A6__unconstrained__seed0] step 22500/40000  loss=0.0234
  [A6__unconstrained__seed0] step 23000/40000  loss=0.2015
  [A6__unconstrained__seed0] step 23500/40000  loss=0.0084
  [A6__unconstrained__seed0] step 24000/40000  loss=0.1312
  [A6__unconstrained__seed0] step 24500/40000  loss=0.0051
  [A6__unconstrained__seed0] step 25000/40000  loss=0.0233
  [A6__unconstrained__seed0] step 25500/40000  loss=0.2310
  [A6__unconstrained__seed0] step 26000/40000  loss=0.2136
  [A6__unconstrained__seed0] step 26500/40000  loss=0.1783
  [A6__unconstrained__seed0] step 27000/40000  loss=0.2155
  [A6__unconstrained__seed0] step 27500/40000  loss=0.1097
  [A6__unconstrained__seed0] step 28000/40000  loss=0.0062
  [A6__unconstrained__seed0] step 28500/40000  loss=0.0053
