T_LAUNCH=1783580109.726660587 (2026-07-09T06:55:09Z)
t=1783580124.749416765 elapsed=15.022756178s step=1 cum_rate=15.0227s/step
t=1783580205.867699884 elapsed=96.141039297s step=100 cum_rate=.9614s/step
t=1783580289.991124634 elapsed=180.264464047s step=200 cum_rate=.9013s/step
t=1783580371.114559281 elapsed=261.387898694s step=300 cum_rate=.8712s/step
t=1783580455.247407997 elapsed=345.520747410s step=400 cum_rate=.8638s/step
t=1783580536.377457727 elapsed=426.650797140s step=500 cum_rate=.8533s/step
t=1783580620.510488383 elapsed=510.783827796s step=600 cum_rate=.8513s/step
t=1783580701.642715639 elapsed=591.916055052s step=700 cum_rate=.8455s/step
t=1783580785.777800145 elapsed=676.051139558s step=800 cum_rate=.8450s/step
t=1783580866.907045997 elapsed=757.180385410s step=900 cum_rate=.8413s/step
t=1783580951.046205670 elapsed=841.319545083s step=1000 cum_rate=.8413s/step
PROCESS EXITED. total_wall=853.343107661s
