unix_time,step,cum_rate_s_per_step,flag
1783627399,400,0.3000032430887222,
1783627519,900,0.2666684052679274,
1783627639,1400,0.25714419398988997,
1783627759,1900,0.2526327257407339,
1783627879,2400,0.25000103016694386,
1783627999,2900,0.24827680620653875,
1783628119,3400,0.24705970946480246,
1783628239,3900,0.2461546859985743,
1783628359,4400,0.24545535065911034,
1783628479,4900,0.24489873803391748,
1783628599,5400,0.24444521122508578,
1783628719,5900,0.24406854847730217,
1783628839,6400,0.24375073723495005,
1783628959,6900,0.24347898683686187,
1783629079,7400,0.24324395811235583,
1783629199,7900,0.2430386827263651,
1783629319,8400,0.2428578474691936,
1783629439,8900,0.24269732965512222,
1783629559,9400,0.24255388097560152,
1783629679,9900,0.24242493841383192,
1783629799,10400,0.24230838750417416,
1783629919,10900,0.242202521332907,
1783630039,11400,0.24210594302729557,
1783630159,11900,0.2420174798845243,
1783630279,12400,0.24193615207749028,
1783630399,12900,0.24186112952786823,
1783630519,13400,0.24179170676131748,
1783630639,13900,0.24172727710051503,
1783630759,14300,0.2433573066104542,
1783630879,14900,0.24161139413014354,
1783630999,15300,0.24313791218925926,
1783631119,15800,0.24303862912745416,
1783631239,16300,0.24294543612954075,
1783631359,16800,0.24285778837544578,
1783631479,17300,0.2427752170397367,
1783631599,17800,0.2426972777388069,
1783631719,18300,0.2426235959699245,
1783631839,18800,0.24255383298752156,
1783631959,19300,0.2424876865327667,
1783632079,19800,0.2424248838545096,
1783632199,20300,0.24236517416432574,
1783632319,20800,0.24230833216355396,
1783632439,21300,0.24225416473379718,
1783632559,21800,0.24220247776136486,
1783632679,22300,0.24215310890043798,
1783632799,22800,0.24210590625018405,
1783632919,23300,0.24206073091777097,
1783633039,23800,0.24201744981172707,
1783633159,24300,0.24197595134193514,
1783633279,24800,0.24193612538037762,
1783633399,25300,0.24189787548992472,
1783633519,25800,0.24186110581538475,
1783633639,26300,0.24182573520638642,
1783633759,26800,0.24179168662028527,
1783633879,27300,0.24175888327888517,
1783633999,27800,0.24172726045409554,
1783634119,28300,0.24169675393155102,
1783634239,28800,0.24166730480061638,
1783634359,29300,0.24163886517794872,
1783634479,29800,0.2416113790729702,
1783634599,30300,0.24158479996640297,
1783634719,30800,0.24155908300505055,
1783634839,31300,0.24153418841072546,
1783634959,31800,0.2415100763428886,
1783635079,32300,0.24148671029152885,
1783635199,32800,0.24146405664885917,
1783635319,33300,0.2414420821931627,
1783635439,33800,0.24142076088126593,
1783635559,34300,0.24140005838766737,
1783635679,34800,0.24137995278013163,
1783635799,35300,0.2413604149872453,
1783635919,35800,0.24134142349552176,
1783636039,36300,0.24132295635449327,
1783636159,36800,0.2413049907269685,
1783636279,37300,0.24128750713517136,
1783636399,37800,0.241270484047592,
1783636519,38200,0.24188546210683454,
1783636639,38800,0.24123775817684293,
1783636759,39200,0.24183738073524164,
1783636879,39700,0.24181424773309934,
1783636999,40200,0.24179168922391103,
1783637119,40700,0.24176968587411415,
1783637239,41200,0.2417482162158466,
1783637359,41700,0.24172726125740032,
1783637479,42200,0.24170680312748768,
1783637599,42700,0.24168682411627132,
1783637719,43200,0.2416673077808486,
1783637839,43700,0.2416482393037809,
1783637959,44200,0.24162960219706886,
1783638079,44700,0.24161138096111734,
1783638199,45200,0.24159356380458427,
1783638319,45700,0.24157613610803952,
1783638439,46200,0.24155908520087535,
1783638559,46700,0.2415423997668689,
1783638679,47200,0.24152606799440868,
1783638799,47700,0.24151007888701978,
1783638919,48200,0.24149442179074426,
1783639039,48700,0.24147908528482645,
1783639159,49200,0.24146406214411667,
1783639279,49700,0.24144934092489048,
1783639399,50200,0.2414349118884341,
1783639519,50700,0.24142076727436373,
1783639639,51200,0.24140689992811531,
1783639759,51700,0.2413933004216945,
1783639879,52200,0.24137996233286071,
1783639999,52700,0.24136687619410158,
1783640119,53200,0.2413540366179961,
1783640239,53700,0.2413414356695207,
1783640359,54200,0.24132906864490017,
1783640479,54700,0.24131692661009932,
1783640599,55200,0.24130500496297644,
1783640719,55700,0.24129329567537702,
1783640839,56100,0.24171188740381794,
1783640959,56700,0.2412704975937199,
1783641079,57100,0.24168191776175424,
1783641199,57600,0.24166732357607948,
1783641319,58100,0.2416529817179025,
1783641439,58600,0.24163888330345676,
1783641559,59100,0.24162502556686272,
1783641679,59600,0.2416113986544961,
1783641799,60100,0.2415979993045826,
1783641919,60600,0.2415848209126161,
1783642039,61100,0.2415718578121666,
1783642159,61600,0.24155910470655986,
1783642279,62100,0.24154655706095426,
1783642399,62600,0.2415342097807997,
1783642519,63100,0.24152205826930123,
1783642639,63600,0.2415100977593248,
1783642759,64100,0.241498323781256,
1783642879,64600,0.24148673286009867,
1783642999,65100,0.2414753199282879,
1783643119,65600,0.24146408080691245,
1783643239,66100,0.24145301083393067,
1783643359,66600,0.24144210863757778,
1783643479,67100,0.24143136748613792,
