unix_time,step,cum_rate_s_per_step,flag
1783592375,100,1.2000155830383301,
1783592495,200,1.20000962972641,
1783592615,400,0.9000055253505707,
1783592735,500,0.960005009174347,
1783592855,700,0.8571468080793109,
1783592975,800,0.9000037655234336,
1783593095,1000,0.8400032830238342,
1783593215,1100,0.8727305134859952,
1783593335,1200,0.900003230770429,
1783593455,1400,0.8571458625793457,
1783593575,1500,0.8800029983520508,
1783593695,1700,0.8470616423382479,
1783593815,1800,0.8666694821251764,
1783593935,2000,0.840002665758133,
1783594055,2100,0.8571455345835004,
1783594175,2200,0.8727299659902399,
1783594295,2400,0.8500025697549184,
1783594415,2500,0.8640025772094727,
1783594535,2700,0.8444469394507231,
1783594655,2800,0.8571453770569393,
1783594775,3000,0.8400024480819702,
1783594895,3100,0.8516153601677187,
1783595015,3200,0.8625024770200252,
1783595135,3400,0.8470612346424776,
1783595255,3500,0.8571452791350228,
1783595375,3700,0.8432456128017323,
1783595495,3800,0.8526339559178603,
1783595615,4000,0.8400023287534714,
1783595735,4100,0.848782826691139,
1783595855,4200,0.8571452174867903,
1783595975,4400,0.845456863804297,
1783596095,4500,0.8533356591860454,
1783596215,4700,0.8425554818295418,
1783596335,4800,0.8500023038188617,
1783596455,5000,0.8400022607326507,
1783596575,5100,0.8470610967336917,
1783596695,5200,0.8538484397301307,
1783596815,5400,0.8444466987362614,
1783596935,5500,0.850911359613592,
1783597055,5700,0.842107501322763,
1783597175,5800,0.8482781130692054,
1783597295,6000,0.8400022221803665,
1783597415,6100,0.845903871606608,
1783597535,6200,0.8516151503978237,
1783597655,6400,0.8437522198632359,
1783597775,6500,0.8492329970873319,
1783597895,6700,0.8417932565532513,
1783598015,6800,0.8470610409975052,
1783598135,7000,0.8400021953582764,
1783598255,7100,0.8450726350596254,
1783598375,7200,0.8500022226903173,
1783598495,7400,0.843245445425446,
1783598615,7500,0.8480022143681845,
1783598735,7700,0.8415606442055145,
1783598855,7800,0.8461560554076464,
1783598975,8000,0.8400021910667419,
1783599095,8100,0.8444466508465048,
1783599215,8300,0.8385564047744475,
1783599335,8400,0.8428593436025438,
1783599455,8500,0.8470610382136177,
1783599575,8700,0.8413815080160382,
1783599695,8800,0.8454567529125647,
1783599815,9000,0.8400021923383078,
1783599935,9100,0.8439582467079163,
1783600055,9300,0.8387118632562699,
1783600175,9400,0.8425553829619224,
1783600295,9500,0.8463179940173501,
1783600415,9700,0.8412393014701371,
1783600535,9800,0.8449001537780373,
1783600655,10000,0.8400021845817566,
1783600775,10100,0.8435665468178173,
1783600895,10300,0.8388371279401686,
1783601015,10400,0.8423098756029056,
1783601135,10500,0.8457164783023653,
1783601255,10700,0.8411236749408401,
1783601375,10800,0.8444466326192573,
1783601495,11000,0.8400021792758595,
1783601615,11100,0.8432454290690723,
1783601735,11300,0.838940224710819,
1783601855,11400,0.8421074444787544,
1783601975,11600,0.8379332031669288,
1783602095,11700,0.841027814363822,
1783602215,11800,0.8440699769076655,
1783602335,12000,0.8400021759668986,
1783602455,12100,0.8429773869987361,
1783602575,12300,0.839026555995631,
1783602695,12400,0.8419376606133676,
1783602815,12600,0.8380974034089891,
1783602935,12700,0.8409470530757754,
1783603055,12800,0.843752180468291,
1783603175,13000,0.8400021670048053,
1783603295,13100,0.8427502642515051,
1783603415,13300,0.8390999067636361,
1783603535,13400,0.8417932126059461,
1783603655,13600,0.8382374525245498,
1783603775,13700,0.8408780757006068,
1783603895,13800,0.8434804330010345,
1783604015,14000,0.8400021628482001,
1783604135,14100,0.8425553598302475,
1783604255,14300,0.8391629992164932,
1783604375,14400,0.8416688401997089,
1783604495,14600,0.8383583283750978,
1783604615,14700,0.8408184967722212,
1783604735,14800,0.8432454178784344,
1783604855,15000,0.8400021644592285,
1783604975,15100,0.8423862745588189,
1783605095,15300,0.8392178436821582,
1783605215,15400,0.841560603055087,
1783605335,15600,0.8384636920996201,
1783605455,15700,0.8407664943652547,
1783605575,15900,0.8377380058750417,
1783605695,16000,0.8400021594911814,
1783605815,16100,0.8422381919215185,
1783605935,16300,0.839265960652404,
1783606055,16400,0.8414655766109141,
1783606175,16600,0.8385563708644316,
1783606295,16700,0.8407207210763485,
1783606415,16900,0.8378719717652134,
1783606535,17000,0.8400021529898924,
1783606655,17100,0.8421074234672458,
1783606775,17300,0.8393085101022886,
1783606895,17400,0.8413814658680181,
1783607015,17600,0.8386385142261332,
1783607135,17700,0.8406801200451824,
1783607255,17900,0.8379909725029375,
1783607375,18000,0.8400021511846119,
1783607495,18100,0.8419911072399077,
1783607615,18300,0.8393464109415565,
1783607735,18400,0.8413065018213314,
1783607855,18600,0.8387118254682069,
1783607975,18700,0.8406438632827392,
1783608095,18900,0.8380973835344668,
1783608215,19000,0.8400021513637743,
1783608335,19100,0.8418869718956074,
1783608455,19300,0.8393803866292529,
1783608575,19400,0.8412392664078585,
1783608695,19600,0.8387776566646536,
1783608815,19700,0.8406112853887723,
1783608935,19900,0.8381930973421988,
