unix_time,step,cum_rate_s_per_step,flag
1783659905,400,0.30000269949436187,
1783660025,900,0.2666681816842821,
1783660145,1400,0.2571440388475146,
1783660265,1900,0.2526326043982255,
1783660385,2400,0.25000092685222625,
1783660505,2900,0.24827672440430212,
1783660625,3400,0.24705965315594391,
1783660745,3900,0.24615463696993314,
1783660865,4400,0.24545530790632422,
1783660985,4900,0.24489870504457123,
1783661105,5400,0.24444517599211799,
1783661225,5900,0.24406852423134498,
1783661345,6400,0.24375071603804827,
1783661465,6900,0.24347897332647572,
1783661585,7400,0.24324394532152124,
1783661705,7900,0.2430386661879624,
1783661825,8400,0.24285783219905127,
1783661945,8900,0.24269731034053846,
1783662065,9400,0.2425538680654891,
1783662185,9900,0.24242492191719286,
1783662305,10400,0.24230836808681488,
1783662425,10900,0.24220250709341207,
1783662545,11400,0.24210593537280434,
1783662665,11900,0.24201747740016263,
1783662785,12400,0.2419361505200786,
1783662905,12900,0.24186112782751867,
1783663025,13400,0.2417917084871833,
1783663145,13900,0.24172727962192014,
1783663265,14400,0.2416673258940379,
1783663385,14900,0.24161139654633182,
1783663505,15400,0.24155909645092952,
1783663625,15900,0.2415100862994884,
1783663745,16400,0.24146406419393493,
1783663865,16900,0.24142076444343702,
1783663985,17400,0.2413799584048918,
1783664105,17900,0.2413414284370465,
1783664225,18400,0.24130499794431354,
1783664345,18900,0.24127048831768136,
1783664465,19400,0.24123775843492487,
1783664585,19900,0.24120667578586982,
1783664705,20400,0.2411771141197167,
1783664825,20900,0.24114896670482946,
1783664945,21400,0.24112213596005305,
1783665065,21900,0.24109653009127263,
1783665185,22400,0.24107206700103623,
1783665305,22900,0.24104867105400718,
1783665425,23400,0.24102627635002136,
1783665545,23900,0.24100481888240352,
1783665665,24400,0.24098424004726723,
1783665785,24900,0.24096448813097543,
1783665905,25400,0.24094551297623343,
1783666025,25900,0.24092727144712647,
1783666145,26400,0.2409097216075117,
1783666265,26900,0.24089282347810312,
1783666385,27400,0.24087654208614878,
1783666505,27900,0.24086084391481133,
1783666625,28400,0.24084569878981146,
1783666745,28900,0.24083107638111576,
1783666865,29400,0.2408169520712223,
1783666985,29900,0.24080330063268093,
1783667105,30400,0.24079009741544724,
1783667225,30900,0.2407773220500514,
1783667345,31400,0.24076495293599026,
1783667465,31900,0.24075297159087322,
1783667585,32400,0.24074136109263808,
1783667705,32900,0.24073010310575954,
1783667825,33400,0.24071918104223147,
1783667945,33900,0.2407085820496258,
1783668065,34400,0.24069829351680222,
1783668185,34900,0.24068829782371193,
1783668305,35400,0.24067858504710224,
1783668425,35900,0.2406691426088551,
1783668545,36400,0.24065995898220566,
1783668665,36900,0.24065102564287055,
1783668785,37400,0.24064233160911397,
1783668905,37900,0.24063386620191912,
1783669025,38400,0.24062562167023618,
1783669145,38900,0.24061758808734177,
1783669265,39400,0.24060975824515832,
1783669385,39900,0.24060212603786535,
1783669505,40400,0.24059468169023496,
1783669625,40900,0.240587419297701,
1783669745,41400,0.24058033290692574,
1783669865,41900,0.2405734150677137,
1783669985,42400,0.24056665988463277,
1783670105,42900,0.24056006583856257,
1783670225,43400,0.2405536207460588,
1783670345,43900,0.2405473224883199,
1783670465,44400,0.2405411671357112,
1783670585,44900,0.24053514717947402,
1783670705,45400,0.24052926002620076,
1783670825,45900,0.24052350191768737,
1783670945,46400,0.24051786847669504,
1783671065,46900,0.24051235573632376,
1783671185,47400,0.24050695878543935,
1783671305,47900,0.24050167319670102,
1783671425,48300,0.2409944196319975,
1783671545,48900,0.2404914279169344,
1783671665,49300,0.2409742620073516,
1783671785,49900,0.24048159143967715,
1783671905,50300,0.2409549048501502,
1783672025,50800,0.24094551620990273,
1783672145,51300,0.2409363067731058,
1783672265,51800,0.24092727541923523,
1783672385,52300,0.24091841650738544,
1783672505,52800,0.2409097255992167,
1783672625,53300,0.24090119971566978,
1783672745,53800,0.24089283204876358,
1783672865,54300,0.2408846167306215,
1783672985,54800,0.2408765535415524,
1783673105,55300,0.24086863400923192,
1783673225,55800,0.2408608571175606,
1783673345,56300,0.24085321783384253,
1783673465,56800,0.24084571340134445,
1783673585,57300,0.24083834269908086,
1783673705,57800,0.24083109646932477,
1783673825,58300,0.24082397501423675,
1783673945,58800,0.24081697451825046,
1783674065,59300,0.24081009186540447,
1783674185,59800,0.24080332524002993,
1783674305,60300,0.24079667006361347,
1783674425,60800,0.24079012395912094,
1783674545,61300,0.24078368473986428,
1783674665,61800,0.24077734922128202,
1783674785,62300,0.24077111555714859,
1783674905,62800,0.2407649821422662,
1783675025,63300,0.24075894479691323,
1783675145,63800,0.24075300228633104,
1783675265,64300,0.2407471520830276,
1783675385,64800,0.24074139184054033,
1783675505,65300,0.24073572049279673,
1783675625,65800,0.24073013578504776,
1783675745,66300,0.24072463540829506,
1783675865,66800,0.24071921669794413,
1783675985,67300,0.24071387830496188,
