unix_time,step,cum_rate_s_per_step,flag
1783586764,400,0.30000282287597657,
1783586884,900,0.26666824208365547,
1783587004,1400,0.25714405587741307,
1783587124,1900,0.25263261669560483,
1783587244,2400,0.25000094980001447,
1783587364,2900,0.2482767522746119,
1783587484,3400,0.247059668933644,
1783587604,3900,0.2461546660080934,
1783587724,4400,0.24545533760027452,
1783587844,4900,0.24489872839986063,
1783587964,5400,0.24444519842112505,
1783588084,6000,0.24000072431564332,
1783588204,6400,0.24375072170048953,
1783588324,7000,0.24000070255143302,
1783588444,7500,0.2400006945292155,
1783588564,8000,0.24000068390369414,
1783588684,8500,0.24000068285885978,
1783588804,9000,0.24000067671140035,
1783588924,9500,0.24000067078439813,
1783589044,10000,0.24000066783428192,
1783589164,10500,0.24000066239493234,
1783589284,11000,0.24000066349723123,
1783589404,11500,0.24000065869870393,
1783589524,12000,0.24000065336624782,
1783589644,12500,0.24000066411972046,
1783589764,13000,0.2400006575217614,
1783589884,13500,0.240000660666713,
1783590004,14000,0.24000065977232796,
1783590124,14500,0.24000065451654895,
1783590244,15000,0.2400006532351176,
1783590364,15500,0.24000065169795867,
1783590484,16000,0.24000064893066883,
1783590604,16500,0.24000064673568264,
1783590724,17000,0.24000064649301417,
1783590844,17500,0.2400006459372384,
1783590964,18000,0.24000064471032884,
1783591084,18500,0.2400006425702894,
1783591204,19000,0.2400006411075592,
1783591324,19500,0.2400006442681337,
1783591444,20000,0.24000064351558686,
1783591564,20500,0.24000064304398327,
1783591684,21000,0.2400006399495261,
1783591804,21500,0.2400006394497184,
1783591924,22000,0.24000064092332665,
1783592044,22500,0.2400006403711107,
1783592164,23000,0.24000064029900925,
1783592284,23500,0.24000063857626408,
1783592404,24000,0.24000063908100128,
1783592524,24600,0.2390250254258877,
1783592644,25000,0.24000063692092896,
1783592764,25600,0.2390631351619959,
1783592884,26100,0.23908109445681516,
1783593004,26600,0.2390983784378023,
1783593124,27100,0.239115026058746,
1783593244,27600,0.23913106887236885,
1783593364,28100,0.23914654268488766,
1783593484,28600,0.23916147483812344,
1783593604,29100,0.23917589200730996,
1783593724,29600,0.23918982197304028,
1783593844,30100,0.2392032916284479,
1783593964,30600,0.23921632018743777,
1783594084,31100,0.23922892869477103,
1783594204,31600,0.23924113829679128,
1783594324,32100,0.23925296851036335,
1783594444,32600,0.23926443590708305,
1783594564,33100,0.23927555534414655,
1783594684,33600,0.2392863462723437,
1783594804,34100,0.23929681889822058,
1783594924,34600,0.23930698942586864,
1783595044,35100,0.23931687242964395,
1783595164,35600,0.23932647495457296,
1783595284,36100,0.23933581195709777,
1783595404,36600,0.2393448934724422,
1783595524,37100,0.23935373022871198,
1783595644,37600,0.2393623332267112,
1783595764,38100,0.23937071049933045,
1783595884,38600,0.23937887067004188,
1783596004,39100,0.23938682202487954,
1783596124,39600,0.23939457251568033,
1783596244,40100,0.23940212934689034,
1783596364,40600,0.2394095012178562,
1783596484,41100,0.23941669297044293,
1783596604,41600,0.23942371147183272,
1783596724,42100,0.23943056377265912,
1783596844,42700,0.2388765118998722,
1783596964,43200,0.2388895224586681,
1783597084,43700,0.2389022347310588,
1783597204,44200,0.23891466078715087,
1783597324,44700,0.23892681023151816,
1783597444,45200,0.23893868991231496,
1783597564,45700,0.23895030868392544,
1783597684,46200,0.23896167549736055,
1783597804,46700,0.2389727988590265,
1783597924,47200,0.23898368675324877,
1783598044,47700,0.23899434771927647,
1783598164,48200,0.23900478682577364,
1783598284,48700,0.2390150116650231,
1783598404,49200,0.23902502899247458,
1783598524,49700,0.2390348447352588,
1783598644,50200,0.23904446422341336,
1783598764,50700,0.23905389410974476,
1783598884,51200,0.23906314096879214,
1783599004,51700,0.23907220910088928,
1783599124,52200,0.23908110262333662,
1783599244,52700,0.2390898277139754,
1783599364,53200,0.23909839175697556,
1783599484,53700,0.23910679251122074,
1783599604,54200,0.2391150384899435,
1783599724,54700,0.23912313321826661,
1783599844,55200,0.2391310830263124,
1783599964,55700,0.2391388891244063,
1783600084,56200,0.23914655656577005,
1783600204,56700,0.23915408878730088,
1783600324,57200,0.2391614901227551,
1783600444,57700,0.2391687626152766,
1783600564,58200,0.2391759103393227,
1783600684,58700,0.2391829367025138,
1783600804,59200,0.23918984313671654,
1783600924,59700,0.2391966344922831,
1783601044,60200,0.23920331302671338,
1783601164,60700,0.2392098819954195,
1783601284,61200,0.2392163430982166,
1783601404,61800,0.23883560793299505,
1783601524,62300,0.2388449587179034,
1783601644,62800,0.23885416087071606,
1783601764,63300,0.23886321739751204,
1783601884,63800,0.238872131542726,
1783602004,64300,0.23888090792933298,
1783602124,64800,0.23888954781823687,
1783602244,65300,0.23889805635303304,
1783602364,65800,0.23890643572734843,
1783602484,66300,0.23891468826642043,
1783602604,66800,0.23892281801400783,
1783602724,67300,0.23893082659453552,
