unix_time,step,cum_rate_s_per_step,flag
1783659997,100,1.2000112557411193,
1783660117,200,1.2000068712234497,
1783660237,400,0.9000039947032928,
1783660357,500,0.9600037779808045,
1783660477,700,0.8571459807668413,
1783660597,800,0.9000030717253685,
1783660717,900,0.9333364815182156,
1783660837,1100,0.8727300956032493,
1783660957,1200,0.9000028232733409,
1783661077,1400,0.8571454729352679,
1783661197,1500,0.8800026210149129,
1783661317,1700,0.8470612882165348,
1783661437,1800,0.8666691300604078,
1783661557,1900,0.8842129987164548,
1783661677,2100,0.8571452229363578,
1783661797,2200,0.8727296480265531,
1783661917,2400,0.8500022669633229,
1783662037,2500,0.8640022768974304,
1783662157,2700,0.8444466491098758,
1783662277,2800,0.8571450734989984,
1783662397,2900,0.8689677481815733,
1783662517,3100,0.8516150746806975,
1783662637,3200,0.8625021880865097,
1783662757,3400,0.84706098205903,
1783662877,3500,0.8571450298173087,
1783662997,3700,0.8432454034444448,
1783663117,3800,0.852633740901947,
1783663237,3900,0.8615406246674366,
1783663357,4100,0.8487826030428817,
1783663477,4200,0.8571449818497613,
1783663597,4400,0.8454566389864141,
1783663717,4500,0.8533354650073581,
1783663837,4700,0.8425552829783014,
1783663957,4800,0.8500021074712276,
1783664077,4900,0.8571449770246233,
1783664197,5100,0.8470609071207982,
1783664317,5200,0.8538482473446772,
1783664437,5400,0.8444465051756965,
1783664557,5500,0.8509111775051463,
1783664677,5700,0.8421073236800076,
1783664797,5800,0.8482779261983674,
1783664917,5900,0.8542393578917293,
1783665037,6100,0.8459036824351451,
1783665157,6200,0.8516149567019555,
1783665277,6400,0.8437520298734307,
1783665397,6500,0.8492328248390785,
1783665517,6700,0.8417930788068629,
1783665637,6800,0.8470608683193431,
1783665757,6900,0.8521759623721026,
1783665877,7100,0.8450724523839817,
1783665997,7200,0.8500020361608929,
1783666117,7400,0.8432452621653274,
1783666237,7500,0.8480020254770915,
1783666357,7700,0.8415604491667315,
1783666477,7800,0.8461558584372203,
1783666597,7900,0.8506349302243583,
1783666717,8100,0.844446451369627,
1783666837,8200,0.8487825040700959,
1783666957,8400,0.8428591461976369,
1783667077,8500,0.8470608374090756,
1783667197,8700,0.8413813137185985,
1783667317,8800,0.845456553670493,
1783667437,9000,0.8400019980271657,
1783667557,9100,0.8439580510474823,
1783667677,9200,0.8478281020340712,
1783667797,9400,0.8425551926582417,
1783667917,9500,0.8463178007979142,
1783668037,9700,0.841239112111711,
1783668157,9800,0.8448999663761684,
1783668277,10000,0.8400019998311996,
1783668397,10100,0.8435663718044167,
1783668517,10200,0.8470608443606134,
1783668637,10400,0.8423097004569494,
1783668757,10500,0.8457162991251265,
1783668877,10700,0.841123498800759,
1783668997,10800,0.8444464584633156,
1783669117,11000,0.8400019985329021,
1783669237,11100,0.8432452454652872,
1783669357,11200,0.8464305840006896,
1783669477,11400,0.8421072652465419,
1783669597,11500,0.8452193991619608,
1783669717,11700,0.8410276448217212,
1783669837,11800,0.8440698061757168,
1783669957,12000,0.8400019999742508,
1783670077,12100,0.8429772182535534,
1783670197,12200,0.8459036613683232,
1783670317,12400,0.8419374980465059,
1783670437,12500,0.8448020206451416,
1783670557,12700,0.8409468926594952,
1783670677,12800,0.8437520194612443,
1783670797,13000,0.84000200849313,
1783670917,13100,0.842750109388628,
1783671037,13200,0.8454565726446382,
1783671157,13400,0.8417930648220119,
1783671277,13500,0.8444464749406885,
1783671397,13700,0.8408779350162423,
1783671517,13800,0.8434802895006926,
1783671637,14000,0.8400020236287798,
1783671757,14100,0.8425552243712946,
1783671877,14200,0.8450724626091165,
1783671997,14400,0.8416686989035871,
1783672117,14500,0.8441399695955474,
1783672237,14700,0.8408183585056642,
1783672357,14800,0.8432452834619059,
1783672477,15000,0.8400020302772522,
1783672597,15100,0.8423861402391598,
1783672717,15200,0.8447388810860483,
1783672837,15400,0.8415604749592868,
1783672957,15500,0.8438730069283517,
1783673077,15700,0.8407663639335875,
1783673197,15800,0.8430400128304204,
1783673317,16000,0.840002030313015,
1783673437,16100,0.8422380615021131,
1783673557,16200,0.8444464865290089,
1783673677,16400,0.8414654513830092,
1783673797,16500,0.8436384058143154,
1783673917,16700,0.8407205947716079,
1783674037,16800,0.8428591781428882,
1783674157,17000,0.8400020261932822,
1783674277,17100,0.8421072933827227,
1783674397,17200,0.8441880826340166,
1783674517,17400,0.8413813422466146,
1783674637,17500,0.8434306060791016,
1783674757,17700,0.840679991676309,
1783674877,17800,0.842698658986038,
1783674997,18000,0.8400020243459277,
1783675117,18100,0.841990978586081,
1783675237,18200,0.8439580757146353,
1783675357,18400,0.8413063765090445,
1783675477,18500,0.8432452748788369,
1783675597,18700,0.8406437367678964,
1783675717,18800,0.8425552228537012,
1783675837,19000,0.8400020243368651,
1783675957,19100,0.8418868459082399,
1783676077,19200,0.8437520343437791,
1783676197,19400,0.8412391465963777,
1783676317,19500,0.8430789585480323,
1783676437,19700,0.8406111655622569,
1783676557,19800,0.842426275917978,
1783676677,20000,0.8400020295619964,
